ticker,name,sector
AAPL,Apple Inc.,Information Technology
AMGN,Amgen,Health Care
AMZN,Amazon,Consumer Discretionary
AXP,American Express,Financials
BA,Boeing,Industrials
CAT,Caterpillar Inc.,Industrials
CRM,Salesforce,Information Technology
CSCO,Cisco,Information Technology
CVX,Chevron Corporation,Energy
DIS,Walt Disney Company (The),Communication Services
GS,Goldman Sachs,Financials
HD,Home Depot (The),Consumer Discretionary
HON,Honeywell,Industrials
IBM,IBM,Information Technology
JNJ,Johnson & Johnson,Health Care
JPM,JPMorgan Chase,Financials
KO,Coca-Cola Company (The),Consumer Staples
MCD,McDonald's,Consumer Discretionary
MMM,3M,Industrials
MRK,Merck & Co.,Health Care
MSFT,Microsoft,Information Technology
NKE,"Nike, Inc.",Consumer Discretionary
NVDA,Nvidia,Information Technology
PG,Procter & Gamble,Consumer Staples
SHW,Sherwin-Williams,Materials
TRV,Travelers Companies (The),Financials
UNH,UnitedHealth Group,Health Care
V,Visa Inc.,Financials
VZ,Verizon,Communication Services
WMT,Walmart,Consumer Staples
