ticker,name,sector
AA,Alcoa,Materials
AAL,American Airlines Group,Industrials
AAON,AAON,Industrials
ACI,Albertsons,Consumer Staples
ACM,AECOM,Industrials
ADC,Agree Realty,Real Estate
AEIS,Advanced Energy,Information Technology
AFG,American Financial Group,Financials
AGCO,AGCO,Industrials
AHR,American Healthcare REIT,Real Estate
AIT,Applied Industrial Technologies,Industrials
ALGM,Allegro MicroSystems,Information Technology
ALK,Alaska Air Group,Industrials
ALLY,Ally Financial,Financials
ALV,Autoliv,Consumer Discretionary
AM,Antero Midstream,Energy
AMG,Affiliated Managers Group,Financials
AMH,American Homes 4 Rent,Real Estate
AMKR,Amkor Technology,Information Technology
AN,AutoNation,Consumer Discretionary
ANF,Abercrombie & Fitch,Consumer Discretionary
APG,APi Group,Industrials
APPF,AppFolio,Information Technology
AR,Antero Resources,Energy
ARMK,Aramark,Consumer Discretionary
ARW,Arrow Electronics,Information Technology
ARWR,Arrowhead Pharmaceuticals,Health Care
ASB,Associated Bank,Financials
ASGN,ASGN Inc.,Information Technology
ASH,Ashland Global,Materials
ATI,ATI Inc.,Industrials
ATR,AptarGroup,Materials
AVAV,AeroVironment,Industrials
AVNT,Avient,Materials
AVT,Avnet,Information Technology
AVTR,Avantor,Health Care
AXTA,Axalta,Materials
AYI,Acuity Brands,Industrials
BAH,Booz Allen Hamilton,Industrials
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary
BC,Brunswick,Consumer Discretionary
BCO,Brink's,Industrials
BDC,Belden Inc.,Information Technology
BHF,Brighthouse Financial,Financials
BILL,Bill Holdings,Information Technology
BIO,Bio-Rad Laboratories,Health Care
BJ,BJ's Wholesale Club,Consumer Staples
BKH,Black Hills Corporation,Utilities
BLD,TopBuild Corp.,Consumer Discretionary
BLKB,Blackbaud,Information Technology
BMRN,BioMarin Pharmaceutical,Health Care
BRBR,BellRing Brands,Consumer Staples
BRKR,Bruker,Health Care
BROS,Dutch Bros Inc.,Consumer Discretionary
BRX,Brixmor Property Group,Real Estate
BSY,Bentley Systems,Information Technology
BURL,Burlington Stores,Consumer Discretionary
BWA,BorgWarner,Consumer Discretionary
BWXT,BWX Technologies,Industrials
BYD,Boyd Gaming,Consumer Discretionary
CACI,CACI International,Industrials
CAR,Avis Budget Group,Industrials
CART,Maplebear Inc.,Consumer Staples
CASY,Casey's General Stores,Consumer Staples
CAVA,Cava Group,Consumer Discretionary
